DATE,YEAR,MONTH,LOP,TEUS,BOX,DPP,BCH,BSH
04/2024,2024,4,SIT,3197.0,2043,3969310722.0,17.52,29.64
04/2024,2024,4,SSL,18346.0,12444,22258828990.0,26.12,67.63
04/2024,2024,4,TSL,1530.0,995,1860732173.0,15.08,32.15
04/2024,2024,4,WHL,4331.0,2857,5331497040.0,21.64,48.86
2024-05-01 00:00:00,2024,5,ANL,445.0,281,574421900.1,19.93,8.86
2024-05-01 00:00:00,2024,5,CMA,1163.0,804,1575586975.0,17.14,40.78
2024-05-01 00:00:00,2024,5,CNC,24807.0,15631,29125886033.0,26.81,67.8
2024-05-01 00:00:00,2024,5,COS,10182.0,6586,11788976642.0,31.43,93.39
2024-05-01 00:00:00,2024,5,EMC,18527.0,12488,21300505112.0,25.01,49.97
2024-05-01 00:00:00,2024,5,GSL,2641.0,1843,3062752930.0,20.93,42.11
2024-05-01 00:00:00,2024,5,KMT,2934.0,2055,3714544990.0,21.05,34.49
2024-05-01 00:00:00,2024,5,LMA,98.0,58,102537145.1,24.48,14.2
2024-05-01 00:00:00,2024,5,MSC,17664.0,11931,21522149399.0,23.4,57.73
2024-05-01 00:00:00,2024,5,MSK,11035.0,6923,13315891938.0,29.68,78.6
2024-05-01 00:00:00,2024,5,NSS,1164.0,830,1441342599.0,17.52,33.59
2024-05-01 00:00:00,2024,5,ONE,7304.0,4671,8180121452.0,26.74,57.66
2024-05-01 00:00:00,2024,5,OOL,3577.0,2294,3958102769.0,24.1,64.81
2024-05-01 00:00:00,2024,5,RCL,1027.0,709,1329081750.0,22.38,49.27
2024-05-01 00:00:00,2024,5,SIT,3175.0,2134,4133137617.0,19.39,35.43
2024-05-01 00:00:00,2024,5,SSL,18985.0,12532,23079105867.0,23.56,63.76
2024-05-01 00:00:00,2024,5,TSL,1767.0,1160,2013005040.0,17.13,47.67
2024-05-01 00:00:00,2024,5,WHL,4466.0,2973,5730080224.0,19.28,39.33
2024-05-01 00:00:00,2024,5,YML,981.0,695,1212507551.0,18.04,39.22
2024-05-01 00:00:00,2024,5,BEN,319.0,248,374293916.2,19.06,18.65
2024-06-01 00:00:00,2024,6,ANL,325.0,236,437956775.4,23.47,16.53
2024-06-01 00:00:00,2024,6,CMA,1233.0,792,1480738040.0,27.46,60.85
2024-06-01 00:00:00,2024,6,CNC,19006.0,11791,22901583678.0,28.2,78.47
2024-06-01 00:00:00,2024,6,COS,9296.0,5920,11043073720.0,26.19,61.63
2024-06-01 00:00:00,2024,6,EMC,14594.0,9809,17182142532.0,28.02,55.58
2024-06-01 00:00:00,2024,6,GSL,1473.0,983,1747863094.0,26.13,59.14
2024-06-01 00:00:00,2024,6,KMT,3017.0,2060,4013336098.0,18.16,32.9
2024-06-01 00:00:00,2024,6,LMA,381.0,239,467234754.6,20.84,14.1
2024-06-01 00:00:00,2024,6,MSC,11716.0,7980,14169615406.0,28.7,58.58
2024-06-01 00:00:00,2024,6,MSK,15659.0,9797,18897424003.0,27.23,86.86
2024-06-01 00:00:00,2024,6,NSS,1388.0,942,1654330617.0,19.93,45.2
2024-06-01 00:00:00,2024,6,ONE,2345.0,1493,2789972647.0,26.45,54.73
2024-06-01 00:00:00,2024,6,OOL,4340.0,2950,5317579910.0,21.32,48.71
2024-06-01 00:00:00,2024,6,RCL,2596.0,1742,3227901756.0,21.51,37.33
