TANGGAL,YEAR,MONTH,LOP,TEUS,%
2023-04-19 00:00:00,2023,4,HMM,1808,
2023-04-20 00:00:00,2023,4,XCL,984,
2023-04-21 00:00:00,2023,4,MELL,350,
2023-04-22 00:00:00,2023,4,BEN,0,
2023-04-23 00:00:00,2023,4,KRL,70,
2023-04-24 00:00:00,2023,4,KSL,0,
2023-05-01 00:00:00,2023,5,CMA,79121,
2023-05-02 00:00:00,2023,5,EMC,73273,
2023-05-03 00:00:00,2023,5,MSK,66092,
2023-05-04 00:00:00,2023,5,MSC,54629,
2023-05-05 00:00:00,2023,5,ONE,52782,
2023-05-06 00:00:00,2023,5,WHL,38554,
2023-05-07 00:00:00,2023,5,COSCO,35686,
2023-05-08 00:00:00,2023,5,OOCL,27520,
2023-05-09 00:00:00,2023,5,RCL,16339,
2023-05-10 00:00:00,2023,5,HAPAG,15118,
2023-05-11 00:00:00,2023,5,SITC,15345,
2023-05-12 00:00:00,2023,5,KMTC,10260,
2023-05-13 00:00:00,2023,5,YML,12554,
2023-05-14 00:00:00,2023,5,GSL,9063,
2023-05-15 00:00:00,2023,5,OTHERS,10174,
2023-05-16 00:00:00,2023,5,SSL,5436,
2023-05-17 00:00:00,2023,5,PIL,5563,
2023-05-18 00:00:00,2023,5,ANL,3595,
2023-05-19 00:00:00,2023,5,HMM,2389,
2023-05-20 00:00:00,2023,5,XCL,1310,
2023-05-21 00:00:00,2023,5,MELL,393,
2023-05-22 00:00:00,2023,5,BEN,0,
2023-05-23 00:00:00,2023,5,KRL,70,
2023-05-24 00:00:00,2023,5,KSL,0,
2023-06-01 00:00:00,2023,6,CMA,94585,
2023-06-02 00:00:00,2023,6,EMC,89331,
2023-06-03 00:00:00,2023,6,MSK,84576,
2023-06-04 00:00:00,2023,6,MSC,65804,
2023-06-05 00:00:00,2023,6,ONE,64399,
2023-06-06 00:00:00,2023,6,WHL,44025,
2023-06-07 00:00:00,2023,6,COSCO,43095,
2023-06-08 00:00:00,2023,6,OOCL,32490,
2023-06-09 00:00:00,2023,6,RCL,19837,
2023-06-10 00:00:00,2023,6,HAPAG,18156,
2023-06-11 00:00:00,2023,6,SITC,18526,
2023-06-12 00:00:00,2023,6,KMTC,13495,
2023-06-13 00:00:00,2023,6,YML,15486,
2023-06-14 00:00:00,2023,6,GSL,10731,
2023-06-15 00:00:00,2023,6,OTHERS,12264,
2023-06-16 00:00:00,2023,6,SSL,7055,
2023-06-17 00:00:00,2023,6,PIL,6559,
2023-06-18 00:00:00,2023,6,ANL,4212,
2023-06-19 00:00:00,2023,6,HMM,3030,
2023-06-20 00:00:00,2023,6,XCL,1514,
2023-06-21 00:00:00,2023,6,MELL,739,
2023-06-22 00:00:00,2023,6,BEN,0,
2023-06-23 00:00:00,2023,6,KRL,70,
2023-06-24 00:00:00,2023,6,KSL,0,
2023-07-01 00:00:00,2023,7,CMA,117058,
2023-07-02 00:00:00,2023,7,EMC,107156,
2023-07-03 00:00:00,2023,7,MSK,101090,
2023-07-04 00:00:00,2023,7,MSC,78507,
2023-07-05 00:00:00,2023,7,ONE,75628,
2023-07-06 00:00:00,2023,7,WHL,51850,
2023-07-07 00:00:00,2023,7,COSCO,49641,
2023-07-08 00:00:00,2023,7,OOCL,37389,
2023-07-09 00:00:00,2023,7,RCL,24196,
