tanggal,year,month,lop,teus,persentase,sumber_sheet
2023-01-22 00:00:00,2023,1,BEN,0,1.0,SL INT
2023-01-23 00:00:00,2023,1,KRL,0,0.0,SL INT
2023-02-01 00:00:00,2023,2,KSL,0,0.0,SL INT
2023-02-02 00:00:00,2023,2,CMA,26177,0.2598467497950066,SL INT
2023-02-03 00:00:00,2023,2,EMC,26360,0.2308365673601587,SL INT
2023-02-04 00:00:00,2023,2,MSK,23283,0.1965284008558216,SL INT
2023-02-05 00:00:00,2023,2,MSC,18911,0.0533613655704059,SL INT
2023-02-06 00:00:00,2023,2,ONE,19908,0.1635996975044114,SL INT
2023-02-07 00:00:00,2023,2,WHL,14033,-0.1460187831768068,SL INT
2023-02-08 00:00:00,2023,2,COSCO,14225,0.207873928054349,SL INT
2023-02-09 00:00:00,2023,2,OOCL,11061,0.0650832558532668,SL INT
2023-02-10 00:00:00,2023,2,RCL,6808,0.1102979613173026,SL INT
2023-02-11 00:00:00,2023,2,HAPAG,0,1.0,SL INT
2023-02-12 00:00:00,2023,2,SITC,5937,0.2011571582346609,SL INT
2023-02-13 00:00:00,2023,2,KMTC,3410,0.4633301857097891,SL INT
2023-02-14 00:00:00,2023,2,YML,5314,-0.4487459105779716,SL INT
2023-02-15 00:00:00,2023,2,GSL,3230,0.0276941601444912,SL INT
2023-02-16 00:00:00,2023,2,OTHERS,6272,-0.5398968819052296,SL INT
2023-02-17 00:00:00,2023,2,SSL,1703,0.4304347826086956,SL INT
2023-02-18 00:00:00,2023,2,PIL,2447,-0.0565630397236614,SL INT
2023-02-19 00:00:00,2023,2,ANL,952,0.0,SL INT
2023-02-20 00:00:00,2023,2,HMM,881,0.3170542635658914,SL INT
2023-02-21 00:00:00,2023,2,XCL,450,0.6049165935030729,SL INT
2023-02-22 00:00:00,2023,2,MELL,80,0.8377281947261663,SL INT
2023-02-23 00:00:00,2023,2,BEN,0,0.0,SL INT
2023-02-24 00:00:00,2023,2,KRL,70,0.0,SL INT
2023-02-25 00:00:00,2023,2,KSL,0,0.0,SL INT
2023-03-01 00:00:00,2023,3,CMA,42553,0.0,SL INT
2023-03-02 00:00:00,2023,3,EMC,43878,0.0,SL INT
2023-03-03 00:00:00,2023,3,MSK,36350,0.0,SL INT
2023-03-04 00:00:00,2023,3,MSC,29650,0.0,SL INT
2023-03-05 00:00:00,2023,3,ONE,31603,0.0,SL INT
2023-03-06 00:00:00,2023,3,WHL,24826,0.0,SL INT
2023-03-07 00:00:00,2023,3,COSCO,21905,0.0,SL INT
2023-03-08 00:00:00,2023,3,OOCL,17250,0.0,SL INT
2023-03-09 00:00:00,2023,3,RCL,9981,0.0,SL INT
2023-03-10 00:00:00,2023,3,HAPAG,9167,0.0,SL INT
2023-03-11 00:00:00,2023,3,SITC,9104,0.0,SL INT
2023-03-12 00:00:00,2023,3,KMTC,5709,0.0,SL INT
2023-03-13 00:00:00,2023,3,YML,7870,0.0,SL INT
2023-03-14 00:00:00,2023,3,GSL,5264,0.0,SL INT
2023-03-15 00:00:00,2023,3,OTHERS,12173,0.0,SL INT
2023-03-16 00:00:00,2023,3,SSL,3010,0.0,SL INT
2023-03-17 00:00:00,2023,3,PIL,3844,0.0,SL INT
2023-03-18 00:00:00,2023,3,ANL,1755,0.0,SL INT
2023-03-19 00:00:00,2023,3,HMM,1463,0.0,SL INT
2023-03-20 00:00:00,2023,3,XCL,715,0.0,SL INT
2023-03-21 00:00:00,2023,3,MELL,350,0.0,SL INT
2023-03-22 00:00:00,2023,3,BEN,0,0.0,SL INT
2023-03-23 00:00:00,2023,3,KRL,70,0.0,SL INT
2023-03-24 00:00:00,2023,3,KSL,0,0.0,SL INT
2023-04-01 00:00:00,2023,4,CMA,58928,0.0,SL INT
2023-04-02 00:00:00,2023,4,EMC,55758,0.0,SL INT
2023-04-03 00:00:00,2023,4,MSK,51931,0.0,SL INT
2023-04-04 00:00:00,2023,4,MSC,39554,0.0,SL INT
2023-04-05 00:00:00,2023,4,ONE,40769,0.0,SL INT
2023-04-06 00:00:00,2023,4,WHL,31395,0.0,SL INT
2023-04-07 00:00:00,2023,4,COSCO,27725,0.0,SL INT
